,answer,clue,couple_occurencies
0,ADAYATTHERACES,Visit the track?,3
1,ALBANYBILLCODY,Wild-West showman?,3
2,ALINEINTHESAND,Saddam drew it,3
3,ANIMALCRACKERS,Box of cookies?,3
4,ARTICHOKEHEART,C,3
5,BEATTOTHEPUNCH,Make the first move,3
6,BOOKMAKERSODDS,LINE,3
7,BROKENPROMISES,ID O   ID O,3
8,CHORUSENSEMBLE,LINE,3
9,COMMONCARRIERS,Freight-hauling trucks,3
10,COSTUMEPARTIES,Dress-up occasions?,4
11,COULDITBESATAN,"The Church Lady's question on ""SNL""",3
12,DIALMFORMURDER,1954 film by 37A,3
13,DOOBIEBROTHERS,Minute By Minute band,3
14,DOUBLEBREASTED,Like some suits,3
15,ENERGIZERBUNNY,It keeps going and going,3
16,FASTESTCOASTER,Steel Phantom,1
17,FIFTEENMINUTES,"Fame period, to Warhol",4
18,FORDAUTOMOBILE,LINCOLN,3
19,FORTYIMMORTALS,"French Academy members, as they are known",4
20,FRONTOFTHELINE,L,3
21,GHOSTOFACHANCE,ALL GONE!,4
22,GLEEMINONESEYE,Mishap with a tube of toothpaste?,4
23,GOESINTOASHELL,Withdraws,3
24,GOREVIDALNOVEL,LINCOLN,3
25,GROANINGBOARDS,Protesting lumber?,3
26,HEAVIESTPERSON,Jon Brower Minnoch,3
27,HOCKEYMANEUVER,CHECK,3
28,ILLBESEEINGYOU,Liberace's theme song,3
29,LAUREYANDCURLY,Rodgers & Hammerstein duo,3
30,LOUISARMSTRONG,Hornblower?,3
31,LUCIFERMATCHES,They're struck,3
32,MATCHCHORDGONG,Reread the title,2
33,NELLIEANDEMILE,Rodgers & Hammerstein duo,3
34,OILPOSEBALANCE,Reread the title,2
35,ORDINARYINCOME,Tax-return figure,3
36,ORDINARYPEOPLE,Best picture of 1980,3
37,OVERTUREFINALE,... IN MUSIC,3
38,POTBELLIEDPIGS,Porcine pets,3
39,QUEENSTRANSFER,Popular harmony quartet?,3
40,RAVINGBEAUTIES,Protesting lookers?,3
41,RESTAURANTBILL,CHECK,4
42,SAVEDBYTHEBELL,"Rescued, in a way",4
43,SHADOWOFADOUBT,1943 film by 37A,3
44,SHERLOCKHOLMES,Baker Street sleuth,3
45,SIMPLESENTENCE,"My dog has fleas, e.g.",3
46,SOFTBALLLEAGUE,"Bit of inter-community rivalry, perhaps",3
47,SPLITDECISIONS,Y/ES N/O,3
48,STERILEHYBRIDS,MULES,3
49,STEVEMCGARRETT,Five-O sleuth,3
50,SUCTIONDEVICES,PUMPS,3
51,TAKEOFFLANDING,... IN FLIGHT,3
52,THEFAMILYCREST,Shared tube of toothpaste?,4
53,THEFIRSTCIRCLE,Solzhenitsyn novel,3
54,THEGAYDIVORCEE,1934 Fred Astaire movie,3
55,THEHAPPYHOOKER,1975 Lynn Redgrave movie,3
56,THELONGGOODBYE,Raymond T. Chandler novel,3
57,THERICEISRIGHT,Sushi chef's comment?,3
58,THEYALLLAUGHED,Offbeat comedy of 1981,3
59,TRICKORTREATER,Goodies gatherer,4
60,TRIPLEALLIANCE,International group formed in 1882,3
61,VANISHINGPOINT,ALL GONE!,4
62,WASCALLYWABBIT,"Bugs, to Elmer",4
63,WHALEOFFORTUNE,Sweepstakes-winning humpback?,3
64,WHEELOFFORTUNE,Vanna's venue,3
65,WYNTONMARSALIS,Hornblower?,3
66,ABIESIRISHROSE,Joanne Dru film,1
67,ADAMCARTWRIGHT,Hoss's big brother,2
68,ADELPHIAEAGLES,Team that cut comedian Silvers?,3
69,ALLTHATJASMINE,Bob Fosse film,2
70,ANOFPREVENTION,"With 57A, weight-less adage",1
71,ASPANTSTHEHART,_____ for cooling streams...,1
72,BALLGAMESNACKS,DOGS,2
73,BATTERTHANEVER,How Dracula feels after a vacation?,3
74,BLAIRUNDERWOOD,L.A. Law name,2
75,CHAINLINKFENCE,Keeps the neighbors out?,1
76,CHAINOFCOMMAND,General to private,1
77,CHAMPAGNEFLUTE,THE BARTENDER PLAYED A __,3
78,CHESTNUTHORSES,BAYS,1
79,CHURCHILLDOWNS,Horse show,2
80,CINCINNATIGALS,Team that cut inventor Franklin?,3
81,CONFERENCECALL,It makes scheduling business meetings easier,2
82,COOKIECRUMBLES,See 20A,1
83,ELECTRONICMAIL,It makes sending letters easier,2
84,EMILYDICKINSON,Reclusive poet,3
85,ENGLISHMUFFINS,Breakfast choice,1
86,ENGLISHSETTERS,Pets for Twiggy,1
87,ESREVERENGLISH,Billiards technique,2
88,FAMOUSREDHEADS,"17A, 23A, 37A, and 60A, e.g.",3
89,FLIGHTRECORDER,THE PILOT PLAYED A __,3
90,FLYMETOTHEMOON,1965 Frank Sinatra favorite,1
91,GASEOUSELEMENT,"F, on the chart",3
92,GERALDOTRIBUNE,Talk-show newsletter?,3
93,GETTINGONESKIX,Having fun?,3
94,GOESBYTHEBOARD,"Is neglected, as an opportunity",3
95,HEHASAMINDLIKE,Start of a quip,1
96,HIREASKYWRITER,One way to spread the word,2
97,HITCHCOCKTOPIC,BIRDS,2
98,HOLDYOURHORSES,Easy!,5
99,INVESTORGROUPS,POOLS,1
100,IRISHWOLFHOUND,Pet for Richard Todd,1
101,ISWORTHAOFCURE,See 19A,1
102,ITSTAYSTHATWAY,End of quip,1
103,JJCALESCCRIDER,Crazy Mama singer's version of a Chuck Willis tune,2
104,JOSEPHINEBAKER,French jazz singer,3
105,JUANINAMILLION,Mexico city odds?,3
106,KARENCARPENTER,Half a brother-and-sister team,3
107,KEITHPARTRIDGE,Danny's big brother,2
108,KEYWITHONEFLAT,"F, in music",3
109,KITCHENCABINET,Unofficial advisers,2
110,LASSIECOMEHOME,Film with Roddy McDowell,1
111,LIBRARYSCIENCE,Major for bookish types,2
112,LISTENTOREASON,Words to a hardhead,2
113,LLBEANSOOGAUGE,Catalogue company's model railroad offering?,2
114,LOSTINTHESTARS,1949 Kurt Weill title song,1
115,MAKENEWFRIENDS,Common New Year's resolution,3
116,MARATHONWINNER,Pace picker-upper,2
117,MYFATHERSHOUSE,1975 Preston/Robertson movie,1
118,NATIONALVELVET,Film with Mickey Rooney,1
119,NEWFOUNDLANDON,Bonanza star being discovered?,3
120,OUTINTFELFIELD,Completely mistaken,4
121,PLANINGSESSION,Bit of carpentry?,1
122,PULLTHETRIGGER,Shoot!,3
123,RENTABILLBOARD,One way to spread the word,2
124,ROADTOPARADISE,"Song from ""Maytime""",2
125,SHOPPINGLISTON,Former heavyweight champ at the supermarket?,3
126,SOLEPROPRIETOR,Fish wholesaler?,1
127,SOLEPROPRIETOR,One without a partner,2
128,SOMELILACITHOT,Marilyn Monroe movie?,2
