,answer,clue,couple_occurencies
0,DONALDBROOK,"Free-for-all, formally",4
1,WILLIAMGOAT,"Barnyard scrounger, formally",3
2,ALASKARANGE,Mt. McKinley's site,3
3,ALLENLUDDEN,Password host,1
4,BACONPOWDER,Instant-breakfast mix?,3
5,BANANASPLIT,Ice cream shoppe offering,3
6,BELLYDANCER,Zill player,3
7,BENCHWARMER,Reserve player,1
8,BETTEMIDLER,Ruthless People star,4
9,BLINDASABAT,"Like a stereotypical umpire, perhaps",3
10,BLOODVESSEL,Circulatory system part,3
11,BLUBBERHEAD,Inept one,3
12,BLUEANDGRAY,Vida and Asa?,3
13,BLUECHIPPER,Unhappy duffer?,3
14,BOOTTHEBALL,Make an error,3
15,BRUCEWILLIS,David Addison,3
16,BUNSOFSTEEL,Exercise tape's promise,3
17,CAKESANDALE,Maugham satire,5
18,CAPODEICAPI,Big cheese,3
19,CEILINGZERO,1935 Cagney film,3
20,CHUMPCHANGE,Pittance,3
21,CITYCOUNCIL,Ordinance-passing group,3
22,CLAMDIGGERS,What mollusks wear to a beach party?,3
23,COMEQUICKLY,"With 35A, comment by 42A upon his discovery of 17A",3
24,CONTRAPTION,Doohickey,4
25,COUCHPOTATO,"Idler, of sorts",2
26,COUCHPOTATO,Tube addict,3
27,CREATEASTIR,Cause a commotion,3
28,CREDITUNION,Saver's vehicle?,2
29,CRIMSONTIDE,Alabama footballers,6
30,CRYSTALBALL,Fortuneteller's prop,7
31,CUBREPORTER,City room rookie,3
32,DEADLETTERS,Phoenician alphabet?,1
33,DIAMONDHEAD,Oahu promontory,3
34,DOMPERIGNON,Monk who discovered 17A,3
35,DONNYBROOKS,Brawls,6
36,DOWNTOEARTH,1932 Will Rogers film,6
37,EARTHMOTHER,Nurturing type,3
38,EDDIEARCARO,Citation?,3
39,EDGARWINTER,Frankenstein musician,3
40,ELLERYQUEEN,"Frederic Dannay and Manfred B. Lee, collectively",3
41,EMANCIPATOR,"Lincoln, on January 1, 1863",2
42,EMERALDISLE,Gem of the North Atlantic,3
43,EMERALDISLE,Land of shamrocks,4
44,ENVIRONMENT,Ambiance,1
45,FEATHERBOAS,What snakes wear to fancy balls?,3
46,FERLINHUSKY,Gone singer,3
47,FIGHTINGMAD,Like an angry boxer?,3
48,FITTOBETIED,Like an angry escape artist?,4
49,FLOORSAMPLE,Store demo,3
50,FOOTTHEBILL,Pick up the tab,4
51,FOUNTAINPEN,Waterman's product,3
52,FREEZEFRAME,Videocassette stopper,3
53,FRENCHTOAST,Pancake-house fare,3
54,GARYCOLEMAN,On the Right Track star,3
55,GARYUSBONDS,Quarter to Three singer,4
56,GENERATIONX,Certain post-baby-boomers,4
57,GENERAYBURN,Match Game host,1
58,GERALDSGAME,Stephen King novel,3
59,GETTHEPBOUT,Step on it!,3
60,GRANDCANYON,Colorado River gorge,3
61,GRASSHOPPER,Light military plane,3
62,GREASEPAINT,Stage make-up,3
63,GREENESTAMP,Post office tribute to Graham?,3
64,GUTREACTION,Instinctive response,5
65,HANKSOFHAIR,Tom's mane?,3
66,HAWAIITHERE,Aloha?,3
67,HAZELBISHOP,Cosmetics name,3
68,HEARTENSOUL,Cheer up?,3
69,HEAVYFOOTED,Clumsy,3
70,HIGHSOCIETY,Grace Kelly film?,3
71,HOARSEHORSE,Mr. Ed with a sore throat?,3
72,HUNTANDPECK,E. Howard and Gregory?,3
73,INONASECRET,WHERE VICTORIA IS?,1
74,INTERROBANG,!/? superimposition,4
75,IRENECASTLE,Half a famous dance team,6
76,IRISHCOFFEE,Potent potable,3
77,IRISHCOFFEE,Whipped cream-topped beverage,3
78,IRISMURDOCH,Henry and Cato writer,3
79,IRONCURTAIN,Post-World War II barrier,4
80,ITALIANBRED,Raised in Rome?,4
81,JAMESGARNER,Jim Rockford portrayer,2
82,JAROMIRJAGR,Hockey's 1995 Art Ross Trophy winner,3
83,JUKEBOXHERO,Foreigner hit,3
84,JUNEPOINTER,"One of the ""Neutron Dance"" group",3
85,KATEJACKSON,Angel/city slicker?,3
86,KITTYLITTER,"Granulated clay, essentially",3
87,KNEESLAPPER,Comedian's killer,3
88,LARRYHAGMAN,Deadly Encounter star,3
89,LATCHKEYKID,Working mom's child,3
90,LAURAPETRIE,"No, Mary Tyler Moore played her",3
91,LEOPOLDAUER,Jascha Heifetz's teacher,3
92,LIKEAVIRGIN,Madonna hit,3
93,LITTLEEGYPT,Hootchy-kootchy dancer of yore,3
94,LOSEBAGGAGE,Suffer an airport annoyance,3
95,LOWEPROFILE,Rob's life story?,3
96,LUMBARJACKS,Chiropractors?,3
97,MAIDENJAPAN,Tokyo Rose?,3
98,MAKINGWAVES,Causing a disturbance,3
99,MARLAMAPLES,A Mrs. Trump,3
100,MIDTERMEXAM,Coed's concern,3
101,MOLLYCODDLE,Indulge,3
102,MONKEYSUITS,What simians wear to weddings?,3
