,answer,clue,couple_occurencies
0,AIRCURRENT,DRAFT,3
1,TYPEOFBEER,DRAFT,3
2,INSTEPWITH,Conforming to,6
3,WELLHEELED,Having lots of money,4
4,ABELINCOLN,Emancipator from Nebraska?,3
5,ACCORDIONS,Portable keyboard instruments,3
6,ANTIFREEZE,Radiator necessity,3
7,ANTIMODERN,Old-fashioned and then some,3
8,APARTMENTS,FLATS,3
9,ARMADILLOS,Plated mammals,3
10,AVERAGEJOE,Everyman,8
11,BACKSTRAPS,Bookbag supporters,3
12,BACKTOBACK,Consecutive,7
13,BADHAIRCUT,Salon annoyance,3
14,BAGATELLES,Trifles,3
15,BALLERINAS,Margot Fonteyn and Anna Pavlova,3
16,BARTENDING,Last stop on the San Francisco subway?,3
17,BATTLESHIP,Two-player game,2
18,BEATTHERAP,Get off scot-free,3
19,BEBEREBOZO,Nixon friend,1
20,BEERBARREL,A polka,3
21,BENCHMARKS,Standards,3
22,BILLANDCOO,Be lovey-dovey,1
23,BILLCULLEN,To Tell The Truth host,1
24,BILLYSROSE,Posy for an entrepreneur?,3
25,BLOWBYBLOW,GUST-SLAP,3
26,BOBBYSOXER,Early Sinatra fan,3
27,BRADYBUNCH,Blended TV family,3
28,BRAINCHILD,Creative idea,6
29,BRANDYWINE,Site of a 1777 defeat,3
30,BREADFRUIT,Two-fer menu item?,3
31,BREAKFASTS,Morning meals,3
32,BUDCOLLYER,Beat the Clock host,1
33,BULLFIDDLE,Double bass,3
34,BURNTUMBER,Shade of brown,5
35,CAFEAULAIT,Shade of brown,3
36,CALFMUSCLE,"It can be pulled, at times",3
37,CAPNCRUNCH,Froot Loops alternative,1
38,CARPENTERS,Goodbye to Love singers,3
39,CASABLANCA,1942 Bogart/Bergman film,1
40,CAUGHTFAST,Hit a snag,3
41,CHECKERCAB,One way to get around town,1
42,CHEEKINESS,Impudence,4
43,CHEESECAKE,Some photos,3
44,CHEFSSALAD,Diner offering,3
45,CHICKCOREA,Jazz keyboardist,3
46,CMLESSHOSE,Some stockings?,3
47,COFFEECAKE,Two-fer menu item?,3
48,COLDTURKEY,Sandwich filler after 4D,2
49,COLORATURA,Skilled singer,1
50,COLORBLIND,With a hueless view,1
51,COLORCODES,Classification systems,1
52,COLORGUARD,Parade participants,1
53,COMEONDOWN,"Phrase used in ""The Price is Right""",3
54,COMMONCOLD,"Vitamin C target, to Pauling",3
55,CONCERTINA,Small instrument with bellows,3
56,COURTORDER,Tennis mandate,1
57,COWPUNCHER,Buckaroo,4
58,CRABAPPLES,Two-fer menu item?,3
59,CRATERLAKE,Oregon national park,7
60,CREAMYSKIN,Even complexion?,3
61,CROPCIRCLE,Art in the field?,3
62,CRSROEBUCK,Retail chain?,3
63,CZECHITOUT,"See for yourself, in Prague",2
64,DAZZYVANCE,Hall of Fame strikeout pitcher,1
65,DEEPFREEZE,Suspended state,3
66,DENSEDENTS,Thick nicks?,1
67,DEUCESWILD,Condition in some poker games,5
68,DIECASTING,Metal molding,3
69,DIMENOVELS,Cheap paperbacks of yore,4
70,DIRTDEVILS,Household cleaners,3
71,DIRTYCLINT,"1971 action flick, truthfully?",3
72,DISHEVELED,In disarray,3
73,DOLLARMARK,US-German currency unit?,3
74,DONKEYKONG,Early video game,3
75,DOORPRIZES,Dance giveaways,3
76,DOUBLETALK,It's never straight,3
77,DOWNGRADED,Debased,1
78,DRAWBRIDGE,River crossing,3
79,DRESSSHIRT,Female-male garment?,3
80,DRUMSTICKS,Krupa's meaty handful,1
81,DUMBWAITER,Vertical conveyance,3
82,DUSTJACKET,Bookcover,3
83,EECUMMINGS,Typographically-eccentric poet,3
84,ELMERSRICE,Dish for a playwright?,3
85,ESTATECARS,Southampton station wagons,3
86,FALLINGOUT,Long-term dispute,4
87,FALLINLOVE,Lose one's heart?,4
88,FATSDOMINO,Blueberry Hill singer,6
89,FATSWALLER,Ain't Misbehavin' writer,3
90,FATTUESDAY,Hot time in New Orleans,3
91,FIBEROPTIC,Of some transmission equipment,3
92,FILTHYRICH,Well-off,4
93,FINGERLING,Young trout,3
94,FIREEATERS,Carnival attractions,5
95,FIRSTCLASS,One way to travel,3
96,FIRSTNIGHT,December 31 celebration,1
97,FIVESPADES,Tools for a quintet of gravediggers,3
98,FLOPHOUSES,Seedy hotels,4
99,FOOTLOCKER,Barracks trunk,3
100,FORCEFIELD,Region affected by a magnet,3
101,FORKEDOVER,Paid,3
102,FRANCISCOS,"Explorer Pizarro, et al",2
103,FRESHENSUP,Fixes a face,3
104,GEORGESAND,French author who befriended Chopin,3
105,GETAHOLDOF,Reach,1
106,GETCUTTING,Head on out,1
107,GOESTOOFAR,Overdoes it,3
108,GOFORBROKE,Risk everything,9
109,GOLDENGATE,Two-mile California strait,3
110,GOLDIEHAWN,"Star of ""The First Wives Club""",3
111,GOLDILOCKS,Grimm girl,3
112,GOLDILOCKS,She had trouble with bears,3
113,GOODASGOLD,Excellent,4
114,GOODENEVIL,Wild pitch?,3
115,GOSLUMMING,Hit the low spots,1
116,GRABSOMEZS,Sleep,3
117,GRASSROOTS,Like some campaigns,4
118,GROUNDHOGS,February 2 celebrities,3
119,GUYMADISON,Actor/city slicker?,3
120,HALFGALLON,Star Trek crewmember,1
121,HANDMEDOWN,Previously used,3
122,HARDENFAST,Set quickly?,3
123,HAROLDROME,"Broadway composer of ""Fanny""",3
124,HAVEAHUNCH,Suspect,3
125,HEADBANGER,Heavy metal fan,5
126,HEADHONCHO,Big cheese,6
127,HERBALPERT,Hornblower?,3
128,HIGHHANDED,Arrogant,3
129,HITTHESACK,Sleep,3
130,HOKEYPOKEY,Line dance,3
131,HOMEREMEDY,Do-it-yourself medicine,3
132,ICEBREAKER,"Party game, perhaps",2
133,INTHECHIPS,Well-off,5
134,IONOSPHERE,"From 50 to 400 kilometers up, roughly",2
135,IRANCONTRA,Ron's problem,3
136,JAYWALKERS,Pedestrian lawbreakers,4
137,JELLYBEANS,Two-fer menu item?,3
138,JOEJACKSON,Shoeless ballplayer from Mississippi?,3
139,JOHNLENNON,Member of The Quarrymen,3
140,JOHNNYCASH,Ring of Fire Singer,3
141,JOHNRABBIT,Formal bunny?,3
142,JOSEPHBLOW,Formal common man?,3
143,KARENBLACK,Nashville star,1
144,KICKTHECAN,Street game,3
145,KNIFEPLEAT,Sharply-creased fold,3
146,LARDBOTTOM,"Nasal T. of ""Kudzu""",3
147,LASTCHANCE,Final opportunity,1
148,LAWBREAKER,"Felon, perhaps",1
149,LAZYPEOPLE,LOAFERS,3
150,LEFTHANDED,Like a southpaw,4
151,LIARSPOKER,Michael Lewis best-seller,3
152,LIPSERVICE,Insincere words,3
153,LOCKERROOM,Olfactory offender,3
154,LONERANGER,Silver?,3
155,LONGHEADED,Shrewd,4
