,answer,clue,couple_occurencies
0,CARDINALOCONNOR,New York prelate,2
1,BLACKJACKTABLES,Atlantic City spots,2
2,DELICATESUBJECT,It may require kid gloves,4
3,ONEARMEDBANDITS,Vegas enticements,3
4,PARFORTHECOURSE,Nothing unusual,4
5,PINBALLMACHINES,Arcade games,4
6,THROWINTHETOWEL,Concede,4
7,TOSSONESCOOKIES,Succumb to seasickness,4
8,COTTAGEINDUSTRY,Home-operated business,4
9,HENRYCABOTLODGE,Nixon's 1960 running mate,5
10,HOLDSAFULLHOUSE,Has a good poker hand,4
11,STARSOFTOMORROW,Celestial Lights?,3
12,SUNMOONANDSTARS,Celestial Lights?,3
13,THESUNALSORISES,Celestial Light?,3
14,GEORGIAONMYMIND,Ray Charles' hit,1
15,ACTCOMESLEEPALL,...FOUR MORE,1
16,ADAYINTHELOUVRE,Part of an American tourist's itinerary?,3
17,AEROSOLHYDROGEN,TWO MORE,3
18,AFACEINTHECROWD,Andy Griffith film (1957),1
19,AFAREWELLTOARMS,Hemingway classic,4
20,ALEOFTHECENTURY,Incredibly good brew?,3
21,ALFREDHITCHCOCK,Dial M for Murder director,3
22,ALFREDHITCHCOCK,Director of 20A and 54A,3
23,ALLYOUNEEDISLIV,Ullmann fan-club slogan?,3
24,AMERICANBUFFALO,David Mamet play,5
25,AMERICANINDIANS,Plains dwellers,3
26,AMIAMANORAMOUSE,Meek one's self-query,3
27,AMOSALONZOSTAGG,Grid coaching legend,3
28,ANTARCTICCIRCLE,66 degrees 30 mins. S,3
29,ANTARCTICCIRCLE,South Frigid Zone boundary,4
30,APARTMENTHOUSES,Multiple residence buildings,3
31,ARAISININTHESUN,Poitier film,4
32,ARRIVEDERCIROMA,The Seven Hills of Rome tune,3
33,ATTHEDROPOFAHAT,Quickly,3
34,ATTORNEYGENERAL,Chief legal council,3
35,BACKSUPAPRODUCT,WHAT A PLUG DOES,3
36,BACKTOSQUAREONE,Where to go to start over,2
37,BARGAINCAMPHOME,Reread the title,2
38,BASEBALLMANAGER,Mack or McGraw,1
39,BEETHOVENSFIRST,Classic symphony,3
40,BELLBOTTOMPANTS,Retro wear,1
41,BELLSARERINGING,Styne musical,6
42,BERMUDATRIANGLE,"Melbourne, FL bounds it",3
43,BERMUDATRIANGLE,Where aircraft vanish?,2
44,BESTFOOTFORWARD,Look good up front?,3
45,BESTFOOTFORWARD,Lucille Ball film (1943),1
46,BETTERMOUSETRAP,Proverbial lure?,3
47,BLOWININTHEWIND,"1963 Peter, Paul and Mary hit",9
48,BLOWININTHEWIND,Bob Dylan composition,3
49,BORNFREEASABIRD,John Barry/Beatles collaboration?,3
50,BOULDERCOLORADO,Home of the Buffalos,2
51,BOULDERCOLORADO,Rocky Mountains city,3
52,BRITISHCOLUMBIA,Vancouver's province,3
53,BUFFALOBILLCODY,US army scout and showman,3
54,BULLDOGDRUMMOND,Dapper movie hero of the '30s-'40s,3
55,BULLETPROOFVEST,Body protection,3
56,BUZZSMOKEATOMIC,THREE MORE,3
57,CABINETMINISTER,Member of the British advisory board,3
58,CANDLEINTHEWIND,Elton John tribute song,3
59,CANDLEINTHEWIND,Hot hit for Elton John,1
60,CANDLELITDINNER,Last night's hot date,1
61,CANDLESTICKPARK,Hot seat for the Giants,1
62,CARLSBADCAVERNS,New Mexico attraction,3
63,CASSANDRAWILSON,She Who Weeps vocalist,3
64,CASTEXAGGERATED,...TWO MORE,1
65,CASTIRONSTOMACH,Trencherman's asset,3
66,CATCHFORTYWINKS,Sleep,3
67,CATCHONESBREATH,Take a break,3
68,CENTEROFGRAVITY,V,9
69,CHANUKAHMENORAH,Seasonal sight,2
70,CHECKEREDCAREER,Work history marked by frequent change,3
71,CHRISTMASCAROLS,Seasonal sounds,2
72,CHRISTOPHERWREN,Designer of St. Paul's Cathedral,4
73,CIRCLETHEWAGONS,Get defensive,1
74,CIRCLETHEWAGONS,Prepare for an attack,2
75,CLOCKWORKORANGE,"Burgess novel, with ""A""",5
76,CONCEALEDWEAPON,Magician's protection?,1
77,CONTINENTALARMY,Washington's men,4
78,CORPORATELADDER,VP's way up,3
79,COVERSABALDSPOT,WHAT A PLUG DOES,3
80,CRABCLAWSROBBER,Hardshell hits heister,2
81,DASHIELLHAMMETT,Creator of Nick Charles,1
82,DAVYINIGODEACON,Sea Spirit/Architect/NFL Hall Of Famer,3
83,DELTADELTADELTA,Sorority since 1888,3
84,DEPARTMENTSTORE,Large retail establishment,3
85,DETROITREDWINGS,Hockey birds,3
86,DIAMONDJIMBRADY,Gem of a financier,3
87,DIAMONDJIMBRADY,Not one of the TV bunch,1
88,DINAHWASHINGTON,Queen of the Blues,5
89,DISAPPEARINGACT,ALL GONE!,4
90,DISCREETRETREAT,Hideaway,3
91,DOWNFORTHECOUNT,Starched,3
92,DROPINTHEBUCKET,"Nowhere near enough, with ""a""",4
93,EDWARDROCHESTER,Jane Eyre's love,3
94,ELECTRICBLANKET,It's on a bed,3
95,ELEVATEDRAILWAY,LINE,3
96,EMERALDWITHENVY,Jealous?,3
97,ENTERTAINERBING,CROSBY,3
98,EXECUTIVELOUNGE,VP's relaxation spot,3
99,FALLSONDEAFEARS,Is ignored,4
100,FASTEDDIEFELSON,The Hustler hustler,4
101,FISHSTICKSUPCOP,Fluke flattens flatfoot,2
102,FLORENZZIEGFELD,"Show Boat producer, 1927",1
103,FONDAANDWINKLER,SOME OF THEM,3
104,FORMERPRESIDENT,LINCOLN,3
105,FRANKFRANKCAPRA,Sincere director?,3
106,FROSTANDKENNEDY,JACKS,3
107,FUNNYPOEMWRITER,NASH,3
108,GETACLOSEUPVIEW,Poll a tube of toothpaste?,4
109,GLASSBOTTOMBOAT,"1966 Doris Day film, with ""The""",3
110,GOLDENPARACHUTE,VP's security agreement,3
111,GONEWITHTHEWIND,Mitchell's bestseller,3
112,GOODTIMECHARLEY,Party asset?,3
113,GOOUTLIKEALIGHT,Sleep,3
114,GREENEGGSANDHAM,Seuss classic,5
115,HAROLDALEXANDER,Bernard Montgomery's counterpart,1
116,HAROLDBETHYNAME,He's in the Lord's Prayer,3
117,HARRYBLACKSTONE,My Life as a Magician author,3
118,HEARTBREAKHOTEL,David Keith film (1988),1
119,HELENOFSYRACUSE,Beautiful woman of Greek Legend?,3
120,HERECOMESTHESUN,Beatles observation,4
121,HIGHESTMOUNTAIN,Everest,3
122,HITONESHEADHARD,SEE STARS,3
123,HOAGYCARMICHAEL,Skylark composer,3
124,HOLIDAYSHOPPING,Seasonal activity,2
125,HOLLYWOODSCARES,Horror flicks?,3
126,HORTONHEARSAWHO,Seuss classic,4
127,HOURGLASSFIGURE,Great shape?,4
128,HUMANCANNONBALL,Circus traveler?,3
129,IAMTASTINGSTARS,See 26A,3
130,INONESSALADDAYS,YOUNG,4
131,INTHELINEOFFIRE,At risk,1
132,ITALIANSTALLION,Sly's nickname,3
133,JAMESANDMANCINI,AND EVEN SOME MORE,3
134,JESSICAFLETCHER,Cabot Cove sleuth,4
135,JOHNSCHLESINGER,Midnight Cowboy director,3
136,JOINTCOMMITTEES,Some congressional groups,3
137,JUMPESTINTOPOOL,Divest?,3
138,KAREEMOFTHECROP,Elite Abdul-Jabbar?,3
139,LACQUEREDFINISH,D,3
140,LASERJETPRINTER,High-tech skywriter?,4
141,LATRELLSPREWELL,Former Golden State Warrior,3
142,LEARKONGANDCOLE,KINGS,3
143,LEAVEITTOBEAVER,Sitcom with Eddie Haskell,3
144,LEEHARVEYOSWALD,Ruby's target,3
145,LIFELONGROMANCE,End of the comment,3
146,LIGHTHORSEHARRY,Robert E.'s father,4
147,LIMERICKIRELAND,Birthplace of some March 17th parade participants,2
148,LITTLEBITOFSOAP,"1961 Jarmels hit song, with ""A""",3
149,LOBSTERTAILSCAR,Homarus hunts Honda,1
150,LONGESTSYMPHONY,Victory at Sea,3
151,LOSEONESBALANCE,Have a high-wire disaster,5
152,LOVEMEORLEAVEME,1955 Doris Day film,3
153,MABANDELIZABETH,QUEENS,3
154,MADASAMARCHHARE,Off one's rocker,3
155,MAKESTSOMEMONEY,Earnest?,3
156,MARIETTEHARTLEY,Breaking the Silence author,3
157,MEATBALLSURGERY,M*A*S*H procedure,3
158,METHODOFPAYMENT,CHECK,3
159,MILESSILVERBERG,Murphy Brown character,4
160,MILLERANDHUDSON,MORE OF THEM,3
161,MINERALDEPOSITS,Prospectors goal,3
162,MOONANDSIXPENCE,Lunar fees?,3
163,MOONLIGHTSONATA,Lunar serenade?,3
164,MOONSHINEMAKERS,STILLS,4
165,MOVEOVERDARLING,1963 Doris Day film,3
166,NATIONALHOLIDAY,4D,2
167,NATIONALHOLIDAY,Thanksgiving Day is one,3
168,NEBRASKACAPITAL,LINCOLN,5
169,NEWSCOTLANDYARD,Bobbies' headquarters,4
170,NONPARTICIPANTS,Bystanders,3
171,NORTHWESTBYWEST,Surveyor's point,3
172,OKEFENOKEESWAMP,Pogo's home,4
173,OKLAHOMASOONERS,Big Eight team,3
174,ONEMOMENTINTIME,Hit by 39A,2
175,ONTHEDOTTEDLINE,Where to sign,4
176,PEPPERMINTPATTY,Lunchbox treat,3
177,PETERCOTTONTAIL,Bunny Trail hopper,4
178,PHONECONNECTION,LINE,3
179,PLAINCLOTHESMEN,Undercover detectives,3
180,PLATINUMBLONDES,Harlow and Monroe,3
181,PLATINUMBLONDES,Light-headed ones?,3
182,PLAYINGHARDBALL,Acting aggressively,3
183,POINTOFINTEREST,Tourist stop?,1
184,POINTOFINTEREST,Vacationer's stop,3
185,POSITIONINCHESS,CHECK,3
186,POWERSTRUCTURES,Managerial hierarchies,3
187,PRICEEXPOSEVIEW,...AND THREE MORE,1
188,PROTECTIVESIGHT,"TWO ""OVER"" FOLLOWERS",1
189,PROVIDEQUARTERS,TAKE IN,3
190,PUBPIECEFORSALE,Ad of tavern owner seeking partner.,3
191,PULLSONESWEIGHT,Does a fair share,3
192,QUICKDRAWMCGRAW,Speedy cartoon horse,3
193,QUINCYJAMESEARL,Grammy Winner '90/Actor,3
194,RAINBOWWARRIORS,U. of Hawaii athletes,4
195,RAREEARTHMETALS,With an atomic number 57 through 71,3
196,RAYMONDCHANDLER,Creator of Philip Marlowe,1
197,READINGRAILROAD,Part of 49A,3
198,RECEIVEASPROFIT,TAKE IN,3
199,REMINGTONSTEELE,"Laura Holt's ""boss""",3
200,RICKSPRINGFIELD,"He sang ""Jessie's Girl""",3
201,ROARINGTWENTIES,Protesting decade?,3
202,ROBERTSRINEHART,"Mystery writer Mary, creator of Tish",1
203,ROCKETSCIENTIST,Genius,5
204,ROCKOFGIBRALTAR,Prudential symbol,3
205,RUNATEMPERATURE,"Need aspirin, perhaps",3
206,SARTREISSMARTRE,END OF THE COMMENT,3
207,SCALENETRIANGLE,Geometry class figure,1
208,SCOTTISHTERRIER,Wiry-coated pooch,3
209,SEATTLESEAHAWKS,Football birds,3
210,SECRETLOVESHACK,Doris Day/B-52's collaboration?,3
211,SECURITYBLANKET,Peanuts prop,3
212,SECURITYOFFICER,"Night watchman, e.g.",3
213,SENDMENOFLOWERS,1964 Doris Day film,3
214,SHATTEREDDREAMS,Fa n tas i es,3
215,SHORTENAGARMENT,TAKE IN,3
216,SHOWERTHEPEOPLE,James Taylor hit,3
217,SINGININTHERAIN,Fun for Kelly,4
218,SLIPOFTHETONGUE,Verbal boo-boo,3
219,SNAKEINTHEGRASS,Treacherous one,10
220,SPAGHETTISTRAPS,Evening dress features,3
221,SPECIALDELIVERY,Cesarean?,1
