,answer,clue,couple_occurencies
0,KEVINSPACEYANDSISSYSPACEK,Two 51 Across winners,1
1,DEPARTFROMTHEPREPAREDTEXT,"Ad-lib, in a speech",1
2,GIVEHIMHISSECURITYBLANKET,How to soothe Linus,1
3,HATSOFFTHEFLAGISPASSINGBY,Words by Henry H. Bennett,1
4,HUNDREDPENNSYLVANIAAVENUE,Sixteen ___,1
5,THINEALABASTERCITIESGLEAM,Words by Katharine Lee Bates,1
6,THISDAYTWOHUNDREDYEARSAGO,"July 4, 1776",1
7,PUTSALLHISEGGSINONEBASKET,A rash Easter Bunny does it,1
8,THEEASTEREGGHUNTONTHELAWN,Traditional White House event,1
9,ASTRONAUTSROCKETEDTOSPACE,20TH CENTURY: Two World Wars take place...,2
10,ASTRONAUTSROCKETEDTOSPACE,20TH CENTURY: Two World Wars take place...: 4 wds.,1
11,WESTMINSTERABBEYCOMPLETED,11TH CENTURY: Olaf Haraldsson defeated...,2
12,WESTMINSTERABBEYCOMPLETED,11TH CENTURY: Olaf Haraldsson defeated...: 3 wds.,1
13,HEARTHEARTHEARTHEARTHEART,Ticker symbols?,2
14,INTHEPRESIDENTIALELECTION,See 46-Across,2
15,ROSEISAROSEISAROSEISAROSE,Famous quote by 20-Across,2
