,answer,clue,couple_occurencies
0,GOOSEGOSSAGE,Yankee pitcher,2
1,ROBINQUIVERS,Stern sidekick,3
2,ALLSTARCASTS,Loaded lineups,4
3,CONSCRIPTION,DRAFT,3
4,FIRSTVERSION,DRAFT,3
5,PERFECTPITCH,Rare musical ability,4
6,ALLABOUTANNE,"1950 classic, truthfully?",3
7,ANDILOVEHAIR,Beautician's afterthought?,3
8,ANNUALPARADE,Macy's event,3
9,APRILSHOWERS,They bring 21A in the springtime,1
10,BARRYMANILOW,New York City Rhythm singer,3
11,BARTLETTPAIR,Couple of quotations?,3
12,BLASTFURNACE,Pig-iron producer,4
13,BLUEFLUEFLEE,First flight,3
14,BURGLARALARM,Flat protection,3
15,CASHORCREDIT,Choice words?,1
16,CATCHERSMASK,Diamond protection,3
17,CHANCECHANTS,Gamble rambles?,1
18,CHARLEYSAUNT,1925 Sydney Chaplin film,3
19,CHERUBIMETAL,"Seraphim, and others",1
20,COARSECOURSE,Crass class?,1
21,COOLHANDPAUL,"1967 adventure, truthfully?",3
22,CORNONTHECOB,Finger food?,3
23,CURDSANDWHEY,Fare for Miss Muffet,3
24,DANFOGELBERG,Leader of the Band singer,3
25,DAVYCROCKETT,Former Tennessee Congressman,3
26,EASTERPARADE,Annual springtime event,1
27,EMERALDGREEN,Color for March 17th,2
28,ENDOFOCTOBER,Time of 34A,4
29,ENTRANCEEXIT,... IN ACTING,3
30,FEEDREEDREND,Third flight,3
31,FLORIDAEVANS,Maude maid,4
32,FREEFRETFEET,Second flight,3
33,FULTONSFOLLY,Clermont tag,3
34,GASINGNARLED,Ineffective spelling aid,3
35,GEORGEORWELL,Eric Blair's nom de plume,3
36,GETTINGOLDER,Aging,1
37,GIDEONSBIBLE,Standard hotel item,3
38,GOLDBRICKERS,Goof-offs,3
39,HAUNTEDHOUSE,Scare site,4
40,HELLOGOODBYE,... IN CONVERSATION,3
41,HIDDENAGENDA,Fugitive's plan?,1
42,HOWWILLIKNOW,Hit by 39A,2
43,IHAVENOTHING,Hit by 39A,2
44,INONESPOCKET,Under total control,3
45,JACOBSLADDER,"Heavenly route, ... ala Genesis",2
46,JAMESMADISON,Federalist Papers contributor from Wisconsin?,3
47,JAMESTHURBER,"American humorist ""The Secret Life of Walter Mitty""",1
48,JERRYFALWELL,Television preacher,3
49,JOJOSTARBUCK,Ice headliner,3
50,JOSHBILLINGS,"American humorist ""Farmers' Allminax""",1
51,KATEANDALLIE,Susan Saint James and Jane Curtin,3
52,KICKTHEHABIT,Go cold-turkey,3
53,KINGANDQUEEN,Alan and Ellery?,2
54,LEMONSCENTED,Like citronella,3
55,LOBSTERSALAD,Seaside sandwich filler,1
56,LONGANDSHORT,Shelley and Martin?,3
57,LOUNGELIZARD,Social parasite,4
58,LOWERTHEBOOM,Take punitive action,5
59,LUNCHEONMEET,Noon track event?,3
60,MAKEHAYWHILE,Start of a quote,1
61,MARYPICKFORD,Early Pollyanna portrayer,3
62,MIMISHERATON,Cooking headliner,3
63,MINORMIRACLE,"Underdog's need, sometimes",3
64,MORKANDMINDY,Robin Williams and Pam Dawber,3
65,OKLAHOMAMAMA,American mother?,2
66,ONEASYSTREET,Well-off,4
67,ONELUMPORTWO,Choice words?,1
68,OVERHEADCOST,"Rent, to a business owner",1
69,PARADISELOST,Milton epic,3
70,PASINPSYCHIC,Ineffective spelling aid,3
71,PEACHCOBBLER,Crusty dessert,3
72,PEANUTBUTTER,Roof-of-the-mouth sticker,3
73,PEASPLEASEME,Vegetarian's comment?,3
74,PERFECTPITCH,How to make a musician seasick?,3
75,PETTYOFFICER,Navy noncom,4
76,PLAYLEAPFROG,Enjoy a children's game,3
77,PUMPERNICKEL,Bakery product,3
78,RINDRINKPINK,Final flight,3
79,RIVERPHOENIX,Stand by Me actor from Arizona?,3
80,ROADTOUTOPIA,1945 Hope-Crosby film,3
81,RUBEGOLDBERG,Creator of intricate contraptions,3
82,SAINTPATRICK,March 17th notable,2
83,SHOPPINGLIST,How to make a mall rat seasick?,3
84,SILENTBUTLER,Crumb collector,4
85,SILVERSPOONS,Ricky Schroder series,3
86,SIXCYLINDERS,"Engine type, sometimes",2
87,SMOKINGORNON,Choice words?,1
88,STEPONTHEGAS,Get a move on,3
89,SUNTANLOTION,Ray protection,3
90,THECONEHEADS,SNL characters,2
91,THESINGLEGUY,Jonathan Silverman sitcom,3
92,THESUNSHINES,End of the quote,1
93,TRICKORTREAT,Choice words?,1
94,VACCINATIONS,Flu protection,3
95,VALETPARKING,Hotel service,3
96,VEILEDTHREAT,Bride's ultimatum?,1
97,WINSLOWHOMER,Marine Coast artist,3
98,WORKINGCLASS,Who 17A honors,3
99,WORTHABUNDLE,Well-off,3
100,YOKOHAMAMAMA,Japanese mother,2
101,ALLOFTHEWILD,Everything feral?,2
102,ATTICUSFINCH,"Hero of ""To Kill a Mockingbird""",1
103,BANKERSHOURS,l0 AM to 3 PM?,1
104,BLARNEYSTONE,It's said those who kiss it are blessed,1
105,BORISKARLOFF,Bride of Frankenstein monster portrayer,3
106,BRANCHOFFICE,Local bank site,2
107,BRIANPICCOLO,James Caan role,3
108,BROWNIEPOINT,Credit for good behavior,2
109,CARDINALCOOK,Former head of a New York diocese,1
110,CARINSURANCE,Auto security,2
111,CASHANDCARRY,Type of transaction,1
112,CHESTERFIELD,Overcoat with a velvet collar,1
113,CHOPPEDLIVER,RESIDEN,2
114,CLAIRETREVOR,"She played Dallas in ""Stagecoach""",3
115,DOCHOLLYWOOD,Michael J. Fox comedy·,1
116,DONTBECREOLE,Plea from a non-French-speaking Louisianan?,3
117,DRUNKASALORD,Smashed,1
118,FAITHPOPCORN,Confident consumable?,3
119,FIDDLEFADDLE,Nonsense,5
120,FIGURESKATER,Ice spinner,4
