,answer,clue,couple_occurencies
0,BACPTKSPACPTECHARACPTTER,Symbol in computing that indicates moving one unit to the left,1
1,FILLINGINTHEBLANKSQUARES,Crossword-puzzle activity,1
2,THATOURFLAGWASSTILLTHERE,What Key was glad to see,1
3,ATCHISONTOPEKAANDSANTAFE,Train in a song by 74-Down,2
4,THESECRETOFSANTAVITTORIA,1969 Anthony Quinn film,2
5,THEGREENGREENGRASSOFHOME,Tom Jones sang this in 1967,2
6,ATTHEALGONQUINROUNDTABLE,Where the smart set sat [answer to be entered in the appropriate manner],1
7,THEUNITEDSTATESOFAMERICA,8-Across issuer,2
8,RINGOSTARRGEORGEHARRISON,See 9-Down,1
9,DOYOUWANTTOBUILDASNOWMAN,"Title song question in Disney's ""Frozen""",1
10,TELLMESOMETHINGIDONTKNOW,"Well, obviously",1
11,CANYOUFEELTHELOVETONIGHT,1994 Oscar- and Grammy-winning song for Elton John,2
12,DIGGREENWHITEREDEARBOOKS,Modern school keepsakes,1
13,GTRHUEMAPPYAORLTDMMEENNT,14-Down starring Jack Lemmon,1
14,OGCUEYASNASNEDLDEOVLELNS,14-Down starring Frank Sinatra,1
