,answer,clue,couple_occurencies
0,ASTITCHINTIME,Proverbial saver,5
1,ATOUCHOFCLASS,1973 Glenda Jackson film,4
2,GREENWICHTIME,Prime meridian,4
3,KENTUCKYDERBY,Annual sporting event,1
4,MINNESOTAFATS,"Jackie Gleason role in ""The Hustler""",1
5,AMETHYSTHEART,Wounded-in-action award?,3
6,APPLEPOLISHER,Toady,5
7,BARNICKELBILL,Highly unlikely liquor tab?,3
8,BELMONTSTAKES,Well-known race,2
9,BIBIANDERSSON,Scenes from a Marriage headliner,3
10,BJORNTOBEWILD,Rebellious Borg?,3
11,BUTTERFINGERS,Fumbler,3
12,CLOTHESHANGAR,Large closet?,3
13,DARKLADYINRED,Cher/Chris DeBurgh collaboration?,3
14,DEEPFATFRIARS,Monastery cooks?,3
15,FIRSTOFFENDER,One not convicted before,1
16,FREETHROWLANE,Court area,3
17,GRAPESOFWRATH,"Fonda film, with ""The""",3
18,HEAVENCANWAIT,1978 Warren Beatty film,4
19,HITTHEJACKPOT,Win big,7
20,HOMEWARDBOUND,Song by Paul,3
21,HORSEFEATHERS,Bosh?,3
22,INFINEFEATHER,Healthy,1
23,INNFORTROUBLE,Saloon with a bad rep?,3
24,INSTANTCOFFEE,Quick eye-opener?,3
25,JOSECANYOUSEE,He's in the National Anthem,3
26,JULIEANDBILLY,Rodgers & Hammerstein duo,3
27,KASINKNAPSACK,Ineffective spelling aid,3
28,LOOSEASAGOOSE,Hardy uptight,3
29,LOSTINYONKERS,Play by Neil,3
30,MARIAANDGEORG,Rodgers & Hammerstein duo,3
31,MARVINGARDENS,Part of 49A,3
32,MASINMNEMONIC,Ineffective spelling aid,3
33,MINNESOTAFATS,Gleason played him,3
34,MONOPOLYBOARD,It has many properties,3
35,MOODYBLUEMOON,Elvis Presley/The Marcels collaboration?,3
36,NEVERONSUNDAY,Melina Mercouri movie,4
37,NOJACKKENNEDY,"Quayle, to Bentsen",3
38,NOTMYCUPOFTEA,Hardly a favorite,3
39,ONEINAMILLION,1936 Sonja Henie film,3
40,PIERCEBROSNAN,Remington Steele portrayer,2
41,POLICEOFFICER,"One of ""New York's finest""",1
42,RARESTELEMENT,Astatine,3
43,REDREDSKELTON,Sunburned comedian?,3
44,RICHARDSTANDS,He's in the Pledge of Allegiance,3
45,RICKDERRINGER,"Rock and Roll, Hoochie Koo singer",3
46,ROGERSHORNSBY,7-time National League batting champ,3
47,RUBYLETTERDAY,Memorable occasion?,3
48,SANFORDANDSON,Redd Foxx and Demond Wilson,3
49,SECRETARYBIRD,Long-legged flier,3
50,SHIRLEYBASSEY,Goldfinger singer,3
51,SQUARESHOOTER,Unhip duffer?,3
52,STEAMERTRUNKS,Clams' midsections?,3
53,STONEPHILLIPS,NBC reporter,3
54,STUDENTDRIVER,Novice duffer?,3
55,THEMERRYWIDOW,1934 Maurice Chevalier movie,3
56,THESEXPISTOLS,Anarchy in the U.K. group,3
57,THREEONAMATCH,1932 Bette Davis film,3
58,TOASTEDWAFFLE,Quick bite?,3
59,TROYTROYAGAIN,Persistent Aikman?,1
60,VICTORYGALLOP,Rush to the Winner's Circle,3
61,VIRGINIAWOOLF,Mrs. Dalloway novelist,3
62,WALKINGONEGGS,Treading carefully,3
63,ACTORSPALDING,GRAY,3
64,AFAMILYMEMBER,SIS?,3
65,ALEXANDERPOPE,Satirist of the 1700's,3
66,ANSWERTHECALL,Lay your cards on the table?,1
67,BIRDSCHIRPING,Sign of spring,3
68,BLEWONESSTACK,Went through the roof,3
69,BLOODBROTHERS,Inseparable friends,3
70,BYTHETIMEWEVE,START OF A QUOTE,3
71,CHAMPATTHEBIT,Become impatient,1
72,CHARLEYHORSES,Exertion aftermaths,1
73,CLARENCEWHITE,Famed photographer,1
74,CLIMBTHEWALLS,Get frantic,3
75,COUCHPOTATOES,Remote operators,1
76,COUCHPOTATOES,"Some ""in"" people",2
77,COUSINCOUSINE,1975 film relationship,2
78,CRYSTALGOBLET,Something to be careful with,2
79,CRYTOCRATCHIT,BAH,3
80,CURTISSTRANGE,Odd golfer?,3
81,DAVIDHERBERTL,"Author of ""Women in L""",2
82,EDWARDESTLINC,"Author of ""tulips and c""",1
83,EMILSAWASLIME,Pianist Gilels noticed a no-good?,2
84,EZZARDCHARLES,Heavyweight champion (1949-51),1
85,FILINGSTATION,IRS office?,1
86,FINDALOOPHOLE,Scrape through,1
87,FINNISHMARKKA,100 pennia,2
88,FOOTEDTHEBILL,Ponied up,2
89,FRUITYPEBBLES,Post production?,3
90,FULLOFBALONEY,Talking nonsense,4
91,GAGGLEOFGEESE,Pond group,2
92,GAMEPRESERVES,Refuges,3
93,GEORGEEASTMAN,Famed photographer,1
94,GETOFFLIGHTLY,Scrape through,1
95,GILBERTKEITHC,"Author of ""Man who was T""",1
96,GRAPESOFWRATH,"Steinbeck novel, with ""The""",3
97,GREATSALTLAKE,Extended vacation spot?,1
98,GREENWITHENVY,Jealous to the max,3
99,GUIDEDMISSILE,TITAN,2
100,HAPPYTOGETHER,Turtles classic,3
